City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
131,bryne,58.7354,5.6477,10.43,95,100,2.06,NO,1683765710
132,haiku-pauwela,20.9219,-156.3051,26.01,72,40,9.26,US,1683765710
133,semey,50.4111,80.2275,17.66,57,100,4.63,KZ,1683765710
134,nagqu,31.5,92.0,-5.64,87,100,1.51,CN,1683765710
135,talnakh,69.4865,88.3972,-14.33,87,11,2.52,RU,1683765710
136,tazovsky,67.4667,78.7,-16.37,93,19,4.49,RU,1683765711
137,carnarvon,-24.8667,113.6333,20.28,63,0,8.59,AU,1683765711
138,qaqortoq,60.7167,-46.0333,1.73,93,100,1.03,GL,1683765711
139,rio preto da eva,-2.6994,-59.6997,23.25,99,100,1.28,BR,1683765711
140,geraldton,-28.7667,114.6,15.23,77,5,5.14,AU,1683765712
141,hammerfest,70.6634,23.6821,5.25,100,100,1.54,NO,1683765712
142,ljusdal,61.8288,16.0913,6.24,68,8,1.47,SE,1683765712
143,port saint john's,-31.6229,29.5448,18.54,57,11,3.09,ZA,1683765646
144,villazon,-22.0866,-65.5942,9.69,50,100,3.88,BO,1683765712
145,dudinka,69.4058,86.1778,-14.1,96,48,3.81,RU,1683765713
146,leiston,52.2061,1.5776,12.12,94,84,2.15,GB,1683765713
147,badger,64.8,-147.5333,16.93,28,75,3.09,US,1683765713
148,saint-philippe,-21.3585,55.7679,21.77,76,51,5.5,RE,1683765714
149,terenozek,45.05,64.9833,24.8,22,100,1.94,KZ,1683765714
150,portland,45.5234,-122.6762,24.99,37,20,0.89,US,1683765529
151,yeraliyev,43.2,51.65,16.08,77,4,2.23,KZ,1683765686
152,vilyuysk,63.7553,121.6247,0.06,55,100,2.12,RU,1683765715
153,champerico,14.3,-91.9167,24.3,78,44,2.62,GT,1683765715
154,saudarkrokur,65.7461,-19.6394,4.34,92,18,1.69,IS,1683765715
155,stony plain,53.5334,-114.0021,19.12,50,81,0.45,CA,1683765715
156,mount gambier,-37.8333,140.7667,14.15,62,0,4.66,AU,1683765715
157,nar'yan-mar,67.6713,53.087,-4.81,90,83,2.55,RU,1683765716
158,anadyr,64.75,177.4833,2.28,69,0,2.0,RU,1683765572
159,lashio,22.9333,97.75,25.1,62,8,0.38,MM,1683765716
160,port elizabeth,-33.918,25.5701,20.73,66,0,3.58,ZA,1683765717
161,iskateley,67.6803,53.1512,-4.97,91,84,2.52,RU,1683765717
162,qiancheng,27.185,109.7654,14.09,97,100,1.64,CN,1683765717
163,coronel suarez,-37.4547,-61.9334,9.32,61,100,2.94,AR,1683765717
164,fuglafjordur,62.244,-6.814,9.26,87,71,1.87,FO,1683765717
165,rabaul,-4.1967,152.1721,29.03,71,12,1.57,PG,1683765718
166,porto novo,6.4965,2.6036,28.9,80,100,3.49,BJ,1683765718
167,pangody,65.85,74.4859,-12.4,84,18,6.19,RU,1683765718
168,dalnerechensk,45.9339,133.7225,14.86,52,100,3.31,RU,1683765718
169,petropavlovsk-kamchatsky,53.0452,158.6483,3.33,75,75,3.0,RU,1683765719
170,sour el ghozlane,36.1477,3.6912,12.94,69,99,2.18,DZ,1683765719
171,la'ie,21.6477,-157.9253,28.98,67,23,5.69,US,1683765719
172,nambucca heads,-30.65,153.0,20.56,59,8,3.27,AU,1683765719
